cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,1,1,0.0,100000000456947100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
1,6,1,1527967.0,"100000007939160100,100000005183943100,100000000955444100,100000007930878100,100000000580561100,100000003888271100","Кластер по составу ролей: terminal 67%, peripheral 33%; гипотеза — преобладает terminal"
2,1,1,0.0,100000003265658100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
3,1,1,0.0,100000003349739100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
4,151,5,19360639.0,"100000003684369100,100000008165763100,100000007908818100,100000001072022100,100000005493505100,100000004105288100,100000001346560100,100000008473207100,100000000806727100,100000001641951100","Кластер по составу ролей: coordinator 88%, terminal 5%, peripheral 5%; гипотеза — преобладает coordinator"
5,1,1,0.0,100000003770083100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
6,1,1,0.0,100000004021459100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
7,1,1,0.0,100000004174835100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
8,4,1,79050.0,"100000001852140100,100000003148220100,100000006888238100,100000004971871100","Кластер по составу ролей: peripheral 75%, terminal 25%; гипотеза — преобладает peripheral"
9,1,1,0.0,100000005017150100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
10,1,1,0.0,100000005087431100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
11,1,1,0.0,100000005235389100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
12,1,1,0.0,100000005480435100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
13,1,1,0.0,100000005495722100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
14,1,1,0.0,100000005550592100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
15,1,1,0.0,100000005560900100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
16,1,1,0.0,100000005568407100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
17,5,2,108007.0,"100000006562026100,100000007347733100,100000008129393100,100000006249740100,100000006831291100","Кластер по составу ролей: terminal 60%, peripheral 40%; гипотеза — преобладает terminal"
18,1,1,0.0,100000008117324100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
19,1,1,0.0,100000008205000100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
20,1,1,0.0,100000008513251100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
21,4,1,1404980.0,"100000000785800100,100000002459163100,100000008601794100,100000001872484100","Кластер по составу ролей: peripheral 50%, terminal 25%, transit 25%; гипотеза — преобладает peripheral"
22,166,8,22599859.56,"100000003016635100,100000004019124100,100000002939838100,100000002173161100,100000001530983100,100000008144528100,100000005519347100,100000006579678100,100000000817146100,100000006518161100","Кластер по составу ролей: coordinator 98%, distributor 1%, peripheral 1%; гипотеза — преобладает coordinator"
23,1,1,0.0,100000008669037100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
24,1,1,0.0,100000008701222100,Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
25,10,0,1929434.85,"100000007629096100,100000002741024100,100000007639767100,100000001439416100,100000007511780100,100000008701256100,100000008680912100,100000003996562100,100000000782285100,100000006444163100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
26,13,1,1392916.0,"100000003164661100,100000005077484100,100000004192865100,100000004463277100,100000003617552100,100000005669845100,100000005055454100,100000001380054100,100000001782980100,100000006232815100","Кластер по составу ролей: terminal 54%, peripheral 46%; гипотеза — преобладает terminal"
27,3,1,390167.62,"100000002781227100,100000002796853100,100000008522127100","Кластер по составу ролей: peripheral 67%, transit 33%; гипотеза — преобладает peripheral"
28,2,1,81465.0,"100000003865939100,100000005392290100","Кластер по составу ролей: peripheral 50%, terminal 50%; гипотеза — преобладает peripheral"
29,3,1,450000.0,"100000000769919100,100000002371751100,100000007018630100","Кластер по составу ролей: peripheral 67%, terminal 33%; гипотеза — преобладает peripheral"
30,121,4,19946834.02,"100000001616816100,100000004015047100,100000002894076100,100000001641789100,100000005514161100,100000005782781100,100000005778283100,100000003158727100,100000002921047100,100000003111305100","Кластер по составу ролей: terminal 42%, coordinator 26%, peripheral 24%; гипотеза — преобладает terminal"
31,3,1,450816.0,"100000005034574100,100000007283257100,100000004388983100","Кластер по составу ролей: terminal 67%, peripheral 33%; гипотеза — преобладает terminal"
32,10,0,322010.0,"100000008172352100,100000007322059100,100000000993112100,100000002691858100,100000001597505100,100000004552204100,100000002628146100,100000002558173100,100000002299948100,100000003646145100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
33,6,1,1615030.0,"100000005456919100,100000000307908100,100000008659445100,100000008736940100,100000008751429100,100000008193577100","Кластер по составу ролей: peripheral 67%, terminal 33%; гипотеза — преобладает peripheral"
34,53,1,5947339.0,"100000003115284100,100000002957306100,100000003360542100,100000003390036100,100000001924185100,100000007129492100,100000008730846100,100000002537811100,100000006852430100,100000005873152100","Кластер по составу ролей: coordinator 96%, distributor 2%, consolidator 2%; гипотеза — преобладает coordinator"
35,26,14,2289450.0,"100000005382566100,100000004041163100,100000005523088100,100000008516839100,100000005668605100,100000004403675100,100000003190207100,100000001471706100,100000004744306100,100000008254069100","Кластер по составу ролей: coordinator 73%, peripheral 23%, terminal 4%; гипотеза — преобладает coordinator"
36,4,0,518000.0,"100000002205022100,100000000629812100,100000003163886100,100000001380107100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
37,6,1,275885.0,"100000005895525100,100000002462183100,100000007175718100,100000005056870100,100000005807278100,100000005485830100","Кластер по составу ролей: terminal 83%, peripheral 17%; гипотеза — преобладает terminal"
38,5,1,2809200.0,"100000004135268100,100000002738256100,100000007507343100,100000008571433100,100000004979498100","Кластер по составу ролей: peripheral 40%, transit 40%, terminal 20%; гипотеза — преобладает peripheral"
39,2,1,30000.0,"100000003980083100,100000003200071100","Кластер по составу ролей: peripheral 50%, terminal 50%; гипотеза — преобладает peripheral"
40,4,2,1499679.0,"100000008730021100,100000008701944100,100000008418835100,100000004269433100","Кластер по составу ролей: peripheral 50%, terminal 50%; гипотеза — преобладает peripheral"
41,3,0,627870.0,"100000008628231100,100000004666651100,100000005664632100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
42,53,1,3021863.0,"100000002679516100,100000003265158100,100000004386258100,100000001899164100,100000007242833100,100000003917461100,100000004200745100,100000004591973100,100000007745062100,100000003781406100","Кластер по составу ролей: coordinator 57%, terminal 34%, peripheral 6%; гипотеза — преобладает coordinator"
43,18,0,3422800.0,"100000003701161100,100000002267998100,100000008137435100,100000003718221100,100000003104347100,100000001822623100,100000003824464100,100000008238989100,100000001063678100,100000005974542100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
