gid,role,role_score,cluster_id,priority_score,evidence,in_senders,out_receivers,sum_in,sum_out,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,pass_through,depth,is_seed,is_cutoff,truncated_by_depth,upstream_couriers
100000000343175100,distributor,0.5166666666666667,34,0.28309818688755095,31 получателей,8,31,178712.0,4000039.0,8,31,178712.0,4000039.0,14,33,0.000713258197938405,22.382598818210305,0,True,False,False,0
100000000456947100,peripheral,0.2,0,0.06999999999999994,"0 отправителей, 0 получателей",0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0002855692942172909,,0,True,False,False,0
100000000580561100,peripheral,0.2,1,0.10146176562921463,"2 отправителей, 3 получателей",2,3,27980.0,1488077.0,2,3,27980.0,1488077.0,3,13,0.0008349888856684653,53.183595425303785,0,True,False,False,0
100000001415126100,terminal,0.0665368786810912,35,0.029875604387503477,"вход 27,000, выход 0",1,0,27000.0,0.0,1,0,27000.0,0.0,1,0,0.00040961890543080487,0.0,0,True,False,False,0
100000001429930100,terminal,0.06407254984105079,56,0.029000582002781126,"вход 26,000, выход 0",1,0,26000.0,0.0,1,0,26000.0,0.0,1,0,0.00035079789147407785,0.0,0,True,False,False,0
100000001616816100,transit,0.8543942790658079,30,0.3347596167543222,"пропуск 1.03, связей 8",5,3,176195.0,181326.0,5,3,176195.0,181326.0,12,10,0.002434657190684458,1.0291211441868384,0,True,False,False,0
100000001732159100,peripheral,0.2,67,0.13107914259186912,"2 отправителей, 4 получателей",2,4,2378100.0,1505966.0,2,4,2378100.0,1505966.0,30,23,0.0010950567872996843,0.633264370716118,0,True,False,False,0
100000002527114100,distributor,1.0,47,0.4115030339560435,111 получателей,3,111,129000.0,3289249.0,3,111,129000.0,3289249.0,4,113,0.0008111056953132627,25.49805426356589,0,True,False,False,0
100000002916006100,peripheral,0.2,35,0.07040023330266261,"0 отправителей, 1 получателей",0,1,0.0,32000.0,0,1,0.0,32000.0,0,1,0.0002855692942172909,,0,True,False,False,0
100000003016635100,distributor,1.0,22,0.5250861898248187,73 получателей,8,73,586981.0,9414081.0,8,73,586981.0,9414081.0,36,151,0.0011896363343877673,16.038135817002594,0,True,False,False,0
100000003200071100,peripheral,0.2,39,0.07037521872124619,"0 отправителей, 1 получателей",0,1,0.0,30000.0,0,1,0.0,30000.0,0,1,0.0002855692942172909,,0,True,False,False,0
100000003265658100,peripheral,0.2,2,0.06999999999999994,"0 отправителей, 0 получателей",0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0002855692942172909,,0,True,False,False,0
100000003349739100,peripheral,0.2,3,0.06999999999999994,"0 отправителей, 0 получателей",0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0002855692942172909,,0,True,False,False,0
100000003684369100,distributor,1.0,4,0.6555543127014455,62 получателей,24,62,3848436.0,8588655.0,24,62,3848436.0,8588655.0,58,67,0.0020202912084868667,2.2317260830113845,0,True,False,False,0
100000003770083100,peripheral,0.2,5,0.06999999999999994,"0 отправителей, 0 получателей",0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0002855692942172909,,0,True,False,False,0
100000003975102100,peripheral,0.2,22,0.07767770723434196,"1 отправителей, 2 получателей",1,2,25650.0,88500.0,1,2,25650.0,88500.0,1,2,0.0003454652180169808,3.4502923976608186,0,True,False,False,0
100000003977183100,peripheral,0.2,30,0.093628987272164,"2 отправителей, 4 получателей",2,4,123800.0,766000.0,2,4,123800.0,766000.0,2,6,0.000331460381699444,6.187399030694669,0,True,False,False,0
100000004007116100,peripheral,0.2,55,0.10016545425854481,"3 отправителей, 4 получателей",3,4,764704.0,148000.0,3,4,764704.0,148000.0,24,6,0.0006277769573248429,0.19353893794200108,0,True,False,False,0
