rank,gid,role,priority_score,why
1,100000003684369100,distributor,0.7055543127014455,"Вход 3,848,436 KZT от 24; выход 8,588,655 KZT к 62. Веер: 62 получателей при пороге 20. Seed: пропуск не используется."
2,100000000331309100,distributor,0.7045833333333333,"Вход 984,635 KZT от 5; выход 23,001,375 KZT к 99. Веер: 99 получателей при пороге 20."
3,100000005382566100,coordinator,0.5859582219315899,"Вход 393,066 KZT от 7; выход 50,000 KZT к 1. Слияние: 14 курьеров-предков (порог 3), 7 входящих ветвей. Seed: пропуск не используется."
4,100000008603629100,distributor,0.5771761353458398,"Вход 1,817,300 KZT от 19; выход 4,986,156 KZT к 61. Веер: 61 получателей при пороге 20."
5,100000008165763100,consolidator,0.5591886556997183,"Вход 1,165,815 KZT от 15; выход 1,267,858 KZT к 17. Признаки консолидации: 15 отправителей при пороге 8."
6,100000007594394100,coordinator,0.5546737108422785,"Вход 395,385 KZT от 6; выход 3,376,312 KZT к 1. Слияние: 9 курьеров-предков (порог 3), 6 входящих ветвей."
7,100000002605308100,coordinator,0.5475544233006379,"Вход 2,569,522 KZT от 3; выход 0 KZT к 0. Слияние: 11 курьеров-предков (порог 3), 3 входящих ветвей."
8,100000003115284100,consolidator,0.5451549375378953,"Вход 2,160,500 KZT от 8; выход 517,000 KZT к 2. Признаки консолидации: 8 отправителей при пороге 8."
9,100000006889963100,coordinator,0.5451112804227687,"Вход 1,431,000 KZT от 4; выход 443,476 KZT к 1. Слияние: 11 курьеров-предков (порог 3), 4 входящих ветвей."
10,100000002718366100,coordinator,0.5390809090382268,"Вход 2,525,000 KZT от 6; выход 0 KZT к 0. Слияние: 9 курьеров-предков (порог 3), 6 входящих ветвей."
11,100000000437046100,distributor,0.5385646603652157,"Вход 1,107,200 KZT от 9; выход 7,606,224 KZT к 42. Веер: 42 получателей при пороге 20."
12,100000007442518100,coordinator,0.5362442640175114,"Вход 510,000 KZT от 5; выход 4,419,999 KZT к 9. Слияние: 7 курьеров-предков (порог 3), 5 входящих ветвей."
13,100000001282143100,coordinator,0.535845727537288,"Вход 1,700,000 KZT от 5; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 5 входящих ветвей."
14,100000003016635100,distributor,0.5350861898248187,"Вход 586,981 KZT от 8; выход 9,414,081 KZT к 73. Веер: 73 получателей при пороге 20. Seed: пропуск не используется."
15,100000007908818100,coordinator,0.5345426097684998,"Вход 727,475 KZT от 4; выход 302,000 KZT к 6. Слияние: 11 курьеров-предков (порог 3), 4 входящих ветвей."
16,100000003404627100,coordinator,0.5326443157212615,"Вход 877,700 KZT от 4; выход 0 KZT к 0. Слияние: 11 курьеров-предков (порог 3), 4 входящих ветвей."
17,100000001732159100,coordinator,0.5310791425918692,"Вход 2,378,100 KZT от 2; выход 1,505,966 KZT к 4. Слияние: 9 курьеров-предков (порог 3), 2 входящих ветвей. Seed: пропуск не используется."
18,100000004015047100,consolidator,0.5302776095662987,"Вход 919,104 KZT от 9; выход 69,195 KZT к 1. Признаки консолидации: 9 отправителей при пороге 8."
19,100000006274203100,coordinator,0.5261443410137826,"Вход 3,417,512 KZT от 2; выход 72,000 KZT к 3. Слияние: 9 курьеров-предков (порог 3), 2 входящих ветвей."
20,100000008637537100,coordinator,0.5259139760010105,"Вход 619,890 KZT от 3; выход 2,351,495 KZT к 3. Слияние: 9 курьеров-предков (порог 3), 3 входящих ветвей. Seed: пропуск не используется."
21,100000005074393100,coordinator,0.5239490109720902,"Вход 563,026 KZT от 4; выход 685,500 KZT к 6. Слияние: 10 курьеров-предков (порог 3), 4 входящих ветвей."
22,100000001072022100,coordinator,0.5231456108859567,"Вход 1,684,000 KZT от 3; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 3 входящих ветвей."
23,100000002894076100,coordinator,0.5223762942092772,"Вход 1,122,782 KZT от 4; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 4 входящих ветвей."
24,100000001857829100,coordinator,0.5218513434150435,"Вход 888,535 KZT от 6; выход 2,390,993 KZT к 16. Слияние: 7 курьеров-предков (порог 3), 6 входящих ветвей."
25,100000008258083100,coordinator,0.5208105846560835,"Вход 3,149,500 KZT от 2; выход 2,045,650 KZT к 2. Слияние: 7 курьеров-предков (порог 3), 2 входящих ветвей."
26,100000001616816100,coordinator,0.5190549524146227,"Вход 176,195 KZT от 5; выход 181,326 KZT к 3. Слияние: 10 курьеров-предков (порог 3), 5 входящих ветвей. Seed: пропуск не используется."
27,100000004019124100,coordinator,0.5178305737733508,"Вход 193,000 KZT от 3; выход 0 KZT к 0. Слияние: 11 курьеров-предков (порог 3), 3 входящих ветвей. Seed: пропуск не используется."
28,100000001303311100,coordinator,0.5178096528976682,"Вход 1,324,000 KZT от 5; выход 0 KZT к 0. Слияние: 9 курьеров-предков (порог 3), 5 входящих ветвей."
29,100000002398779100,consolidator,0.5174462612094856,"Вход 1,095,690 KZT от 13; выход 66,000 KZT к 1. Признаки консолидации: 13 отправителей при пороге 8."
30,100000001253557100,coordinator,0.5172123658401988,"Вход 210,200 KZT от 5; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 5 входящих ветвей."
31,100000005493505100,coordinator,0.5161923688363897,"Вход 62,020 KZT от 3; выход 0 KZT к 0. Слияние: 11 курьеров-предков (порог 3), 3 входящих ветвей. Seed: пропуск не используется."
32,100000001887715100,coordinator,0.5147839256091362,"Вход 1,331,500 KZT от 3; выход 750,000 KZT к 1. Слияние: 9 курьеров-предков (порог 3), 3 входящих ветвей."
33,100000008512827100,coordinator,0.5144205763067722,"Вход 107,949 KZT от 3; выход 1,944,500 KZT к 10. Слияние: 9 курьеров-предков (порог 3), 3 входящих ветвей."
34,100000002849158100,coordinator,0.5142148438819127,"Вход 723,000 KZT от 3; выход 1,313,000 KZT к 1. Слияние: 9 курьеров-предков (порог 3), 3 входящих ветвей."
35,100000002957306100,coordinator,0.5141506969409807,"Вход 398,490 KZT от 2; выход 0 KZT к 0. Слияние: 11 курьеров-предков (порог 3), 2 входящих ветвей."
36,100000003360542100,coordinator,0.513779355479854,"Вход 317,000 KZT от 2; выход 51,800 KZT к 2. Слияние: 11 курьеров-предков (порог 3), 2 входящих ветвей."
37,100000008743913100,coordinator,0.5137633306873465,"Вход 149,300 KZT от 3; выход 1,850,600 KZT к 13. Слияние: 9 курьеров-предков (порог 3), 3 входящих ветвей."
38,100000007055802100,coordinator,0.5137274953886314,"Вход 2,024,999 KZT от 6; выход 605,000 KZT к 1. Слияние: 7 курьеров-предков (порог 3), 6 входящих ветвей."
39,100000002547110100,coordinator,0.5129276027289796,"Вход 1,500,000 KZT от 6; выход 0 KZT к 0. Слияние: 8 курьеров-предков (порог 3), 6 входящих ветвей."
40,100000003390036100,coordinator,0.5128350550313843,"Вход 231,300 KZT от 2; выход 62,000 KZT к 2. Слияние: 11 курьеров-предков (порог 3), 2 входящих ветвей."
41,100000004105288100,coordinator,0.5118557341689316,"Вход 215,000 KZT от 2; выход 0 KZT к 0. Слияние: 11 курьеров-предков (порог 3), 2 входящих ветвей."
42,100000001924185100,coordinator,0.5110552675636062,"Вход 151,000 KZT от 2; выход 0 KZT к 0. Слияние: 11 курьеров-предков (порог 3), 2 входящих ветвей."
43,100000007129492100,coordinator,0.5102671831760819,"Вход 50,990 KZT от 2; выход 37,000 KZT к 1. Слияние: 11 курьеров-предков (порог 3), 2 входящих ветвей."
44,100000001346560100,coordinator,0.509569401427471,"Вход 10,000 KZT от 2; выход 22,200 KZT к 1. Слияние: 11 курьеров-предков (порог 3), 2 входящих ветвей."
45,100000002939838100,coordinator,0.5092279105264554,"Вход 571,233 KZT от 3; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 3 входящих ветвей."
46,100000008686313100,coordinator,0.5089311620259754,"Вход 1,912,716 KZT от 6; выход 333,800 KZT к 7. Слияние: 7 курьеров-предков (порог 3), 6 входящих ветвей."
47,100000004299488100,coordinator,0.5070235875690315,"Вход 1,749,000 KZT от 6; выход 344,999 KZT к 2. Слияние: 7 курьеров-предков (порог 3), 6 входящих ветвей."
48,100000008730846100,coordinator,0.5069005962572906,"Вход 155,042 KZT от 7; выход 363,370 KZT к 3. Слияние: 8 курьеров-предков (порог 3), 7 входящих ветвей."
49,100000005473151100,coordinator,0.5068230350733615,"Вход 1,220,000 KZT от 3; выход 225,000 KZT к 4. Слияние: 9 курьеров-предков (порог 3), 3 входящих ветвей."
50,100000002173161100,coordinator,0.5066041574859679,"Вход 1,427,500 KZT от 3; выход 0 KZT к 0. Слияние: 9 курьеров-предков (порог 3), 3 входящих ветвей."
51,100000002883402100,coordinator,0.505835520545796,"Вход 300,000 KZT от 3; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 3 входящих ветвей."
52,100000008516839100,coordinator,0.5040219633931057,"Вход 155,000 KZT от 3; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 3 входящих ветвей. Seed: пропуск не используется."
53,100000002679516100,coordinator,0.5033632669279579,"Вход 102,335 KZT от 3; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 3 входящих ветвей."
54,100000005668605100,coordinator,0.503265272305259,"Вход 94,500 KZT от 3; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 3 входящих ветвей. Seed: пропуск не используется."
55,100000008547844100,coordinator,0.5031803380734575,"Вход 177,600 KZT от 3; выход 2,042,199 KZT к 19. Слияние: 8 курьеров-предков (порог 3), 3 входящих ветвей."
56,100000004004621100,coordinator,0.5030262454725345,"Вход 75,389 KZT от 3; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 3 входящих ветвей."
57,100000002480800100,coordinator,0.5029531210762718,"Вход 569,251 KZT от 2; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
58,100000008758168100,coordinator,0.5026243558224148,"Вход 75,410 KZT от 2; выход 1,533,600 KZT к 5. Слияние: 9 курьеров-предков (порог 3), 2 входящих ветвей."
59,100000002369874100,coordinator,0.5025043744249251,"Вход 600,000 KZT от 4; выход 0 KZT к 0. Слияние: 9 курьеров-предков (порог 3), 4 входящих ветвей."
60,100000003157679100,coordinator,0.5017664442731409,"Вход 541,000 KZT от 4; выход 0 KZT к 0. Слияние: 9 курьеров-предков (порог 3), 4 входящих ветвей."
61,100000002748532100,coordinator,0.5012855571852092,"Вход 355,575 KZT от 3; выход 646,685 KZT к 2. Слияние: 9 курьеров-предков (порог 3), 3 входящих ветвей."
62,100000006866783100,distributor,0.5011205120192979,"Вход 838,812 KZT от 13; выход 3,948,037 KZT к 67. Веер: 67 получателей при пороге 20. Seed: пропуск не используется."
63,100000005514161100,coordinator,0.5006470417547562,"Вход 401,500 KZT от 4; выход 50,000 KZT к 1. Слияние: 9 курьеров-предков (порог 3), 4 входящих ветвей."
64,100000004997515100,coordinator,0.5006220271733398,"Вход 395,000 KZT от 4; выход 54,500 KZT к 4. Слияние: 9 курьеров-предков (порог 3), 4 входящих ветвей."
65,100000005432267100,coordinator,0.500210897588497,"Вход 350,001 KZT от 2; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
66,100000003134934100,coordinator,0.49974469075932176,"Вход 379,354 KZT от 4; выход 0 KZT к 0. Слияние: 9 курьеров-предков (порог 3), 4 входящих ветвей."
67,100000007229557100,coordinator,0.49973140124180715,"Вход 878,000 KZT от 3; выход 0 KZT к 0. Слияние: 9 курьеров-предков (порог 3), 3 входящих ветвей."
68,100000003946524100,coordinator,0.49931670134660444,"Вход 133,757 KZT от 2; выход 144,750 KZT к 2. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
69,100000002956769100,coordinator,0.49925612419489523,"Вход 840,000 KZT от 3; выход 0 KZT к 0. Слияние: 9 курьеров-предков (порог 3), 3 входящих ветвей."
70,100000008752616100,coordinator,0.4991285680694705,"Вход 64,510 KZT от 2; выход 1,265,000 KZT к 7. Слияние: 9 курьеров-предков (порог 3), 2 входящих ветвей."
71,100000005782781100,coordinator,0.4987873615356062,"Вход 171,888 KZT от 6; выход 1,263,597 KZT к 10. Слияние: 7 курьеров-предков (порог 3), 6 входящих ветвей."
72,100000008566737100,coordinator,0.4987100101962213,"Вход 230,000 KZT от 2; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
73,100000002793881100,coordinator,0.49857572758036867,"Вход 785,600 KZT от 3; выход 0 KZT к 0. Слияние: 9 курьеров-предков (порог 3), 3 входящих ветвей."
74,100000008747113100,coordinator,0.49830728794270773,"Вход 197,801 KZT от 2; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
75,100000001530983100,coordinator,0.49827198507240955,"Вход 564,158 KZT от 4; выход 1,829,538 KZT к 11. Слияние: 7 курьеров-предков (порог 3), 4 входящих ветвей."
76,100000008556318100,coordinator,0.4980862966231844,"Вход 180,132 KZT от 2; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
77,100000007181706100,coordinator,0.49803801848105067,"Вход 176,272 KZT от 2; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
78,100000005124479100,coordinator,0.4978314105458418,"Вход 137,753 KZT от 2; выход 22,000 KZT к 2. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
79,100000001875239100,coordinator,0.49765519098424454,"Вход 712,000 KZT от 3; выход 0 KZT к 0. Слияние: 9 курьеров-предков (порог 3), 3 входящих ветвей."
80,100000005882013100,coordinator,0.4976468904860236,"Вход 135,000 KZT от 2; выход 10,000 KZT к 1. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
81,100000002605548100,coordinator,0.4972928716225278,"Вход 116,695 KZT от 2; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
82,100000008438656100,coordinator,0.49689645304353103,"Вход 80,000 KZT от 2; выход 5,000 KZT к 1. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
83,100000007311010100,coordinator,0.49688994925236274,"Вход 64,480 KZT от 2; выход 20,000 KZT к 1. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
84,100000006446271100,coordinator,0.49683391658999,"Вход 80,000 KZT от 2; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
85,100000004315838100,coordinator,0.49668382910149156,"Вход 50,000 KZT от 2; выход 18,000 KZT к 1. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
86,100000005133757100,coordinator,0.49664630722936687,"Вход 65,000 KZT от 2; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
87,100000004539443100,coordinator,0.49660866028433515,"Вход 61,990 KZT от 2; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
88,100000005778283100,coordinator,0.49645148932648653,"Вход 615,760 KZT от 3; выход 0 KZT к 0. Слияние: 9 курьеров-предков (порог 3), 3 входящих ветвей."
89,100000004904960100,coordinator,0.49623356663599605,"Вход 32,000 KZT от 2; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
90,100000000629812100,coordinator,0.49610849372891386,"Вход 22,000 KZT от 2; выход 0 KZT к 0. Слияние: 10 курьеров-предков (порог 3), 2 входящих ветвей."
91,100000002945626100,coordinator,0.4960542577735938,"Вход 584,000 KZT от 3; выход 0 KZT к 0. Слияние: 9 курьеров-предков (порог 3), 3 входящих ветвей."
